Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	Golf Digest	RBZ0005635	467971	03/01/2020
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431839	03/01/2019
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431840	05/01/2019
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431841	07/01/2019
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431842	09/01/2019
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431843	11/01/2019
8080 Test Library	Hot Rod Deluxe	RBZ0001578	431844	01/01/2020
8080 Test Library	IL - Idee e lifestyle del Sole 24 ORE	RBZ0002381	392427	09/01/2018
8080 Test Library	Inside Out Christmas	RBZ0004017	342301	12/01/2011
8080 Test Library	Inside Out Renovating & Decorating Guide	RBZ0000495	342586	05/01/2012
8080 Test Library	Jours de Chasse	RBZ0009686	381186	06/01/2017
8080 Test Library	Jours de Cheval	RBZ0009687	374635	07/01/2017
8080 Test Library	Jp Magazine	RBZ0001366	431729	01/25/2019
8080 Test Library	Jp Magazine	RBZ0001366	431730	02/22/2019
8080 Test Library	Jp Magazine	RBZ0001366	431731	03/22/2019
8080 Test Library	Jp Magazine	RBZ0001366	431732	07/01/2019
8080 Test Library	Jp Magazine	RBZ0001366	431733	08/01/2019
8080 Test Library	Jp Magazine	RBZ0001366	431734	09/01/2019
8080 Test Library	Jp Magazine	RBZ0001366	431735	10/01/2019
8080 Test Library	Jp Magazine	RBZ0001366	431736	11/01/2019
